FID	IID	wolbachia	MEN_SNP1	MEN_SNP2	MenEx3	inversionPC1	inversionPC2	inversionPC3	inversionPC4	inversionPC5	EigVal1	EigVal2	EigVal3	EigVal4	EigVal5
line_738	line_738	2	2	-9	14.70712106	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0007	0.0258	0.0532	0.0006	-0.0005
line_748	line_748	2	2	1	20.31993717	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.1359	-0.2329	-0.1025	-0.125	0.2669
line_757	line_757	1	2	1	13.36874744	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0056	0.0351	-0.0158	-0.0029	-0.0206
line_765	line_765	1	1	1	12.17032746	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0037	0.0458	-0.0378	-0.0159	0.0011
line_774	line_774	1	-9	1	11.32998651	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0028	0.0333	-0.0255	-0.0145	0.0105
line_776	line_776	2	1	1	12.37474495	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.0125	0.0775	-0.0705	-0.053	-0.0375
line_783	line_783	2	1	1	12.76194993	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0043	0.0468	-0.0373	-0.0153	0.0686
line_786	line_786	2	1	1	11.81411262	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.0122	0.048	-0.056	-0.0282	-0.0355
line_790	line_790	2	2	1	13.35291267	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0085	0.0474	-0.0229	-0.0481	0.1492
line_796	line_796	2	1	1	11.81975605	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0035	0.0383	-0.0241	-0.0098	0.0324
line_799	line_799	1	2	1	15.08131749	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0207	-0.0201	-0.054	-0.127	0.2662
line_802	line_802	2	-9	1	13.64483596	0.715276173	-0.03633525	-0.807710875	-0.487088521	0.139488963	0.0278	-0.0257	-0.0417	-0.0529	0.0775
line_808	line_808	1	1	1	12.37066201	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0045	0.0359	-0.0298	-0.004	-0.0006
line_810	line_810	1	2	-9	14.39702033	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0316	0.0158	0.2532	-0.0016	0.0623
line_818	line_818	2	1	1	16.66143468	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0016	0.0446	-0.0055	-0.0232	0.0297
line_819	line_819	2	2	1	14.95000209	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0191	0.0191	0.0161	-0.0982	0.1979
line_820	line_820	2	2	1	11.77129144	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0159	0.0182	0.1593	0.0013	0.0087
line_822	line_822	2	1	1	13.53240264	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0122	0.0386	-0.0279	-0.0044	0.0085
line_837	line_837	2	2	1	11.96069682	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.1039	-0.2179	-0.0771	0.0399	-0.0668
line_843	line_843	1	2	1	12.65337556	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0032	0.0817	-0.0871	0.6636	0.1679
line_849	line_849	1	2	1	14.90268154	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0159	-0.0143	-0.0374	-0.0103	0.002
line_850	line_850	2	2	1	15.69783997	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0187	0.077	-0.0529	-0.1188	0.1431
line_852	line_852	2	2	1	13.93936088	0.046680818	-0.281886165	0.749071583	-0.470407031	0.122041728	-0.0057	0.0593	-0.0147	-0.0162	-0.106
line_853	line_853	2	2	1	20.99995079	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0078	0.0611	-0.0444	-0.0773	0.0996
line_855	line_855	2	2	1	13.32574762	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	-0.0017	0.0281	0.1016	-0.0077	0.0135
line_857	line_857	1	1	1	15.1548619	0.048430278	-0.298145627	0.827570214	-0.524704086	0.142129868	-0.0061	0.0359	-0.0203	0.0006	-0.0498
line_859	line_859	2	2	1	15.98293402	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0092	0.0714	-0.0405	-0.1048	0.1512
line_861	line_861	2	2	1	14.73634243	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0206	0.0196	0.2155	-0.0189	0.0501
line_879	line_879	2	2	1	15.74149858	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0017	0.0819	-0.084	0.6436	0.1685
line_882	line_882	2	2	1	11.5665113	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0043	0.0582	-0.006	0.0179	0.0249
line_884	line_884	2	1	1	16.03125409	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.0008	0.0277	-0.0086	-0.0052	-0.0028
line_890	line_890	2	2	1	13.38577975	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0041	0.0491	-0.0266	-0.0247	0.0469
line_894	line_894	1	2	1	16.50413146	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0998	-0.2061	-0.0788	-0.0131	0.0046
line_897	line_897	2	2	1	11.52958195	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0	0.0452	-0.04	-0.0084	0.0098
line_900	line_900	1	2	-9	14.05711886	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0089	0.0263	-0.0319	-0.0461	0.0824
line_907	line_907	1	-9	1	18.97505392	-0.226429625	-0.159170327	0.019388242	0.065118426	-0.123589792	0.0123	0.0118	-0.0311	-0.0603	0.1166
line_908	line_908	1	2	1	13.79669502	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.016	0.023	0.1686	0.002	0.0325
line_911	line_911	1	2	1	13.55781431	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0061	0.0414	-0.0235	-0.018	0.0084
