Block,Box,MenEx,DGRP,MenRep1,MenRep2,MenRep3
40,133,76,100,8.481,7.373,
40,133,76,100,6.766,8.086,
40,133,76,100,7.844,8.049,
40,133,76,100,7.643,5.725,
40,133,76,100,5.825,7.124,
40,133,76,100,9.853,7.942,
40,133,76,100,8.299,7.165,
40,133,86,100,8.589,8.706,
40,133,86,100,9.246,8.434,
40,133,86,100,9.152,9.842,
40,133,86,100,7.382,7.079,
40,133,86,100,8.333,8.209,
40,133,86,100,8.199,8.217,
40,133,86,100,7.952,7.639,
40,133,86,100,8.793,8.05,
40,133,86,100,8.782,9.131,
40,133,86,100,8.861,8.734,
40,133,86,100,7.542,7.33,
2,2,3,101,15.565,,
2,2,3,101,23.964,24.121,
2,2,3,101,16.619,15.999,
2,2,3,101,16.56,15.86,
2,2,3,101,15.436,15.805,
2,2,3,101,14.501,15.429,
2,2,3,101,15.116,15.879,
2,2,3,101,15.923,16.542,
2,2,3,101,15.78,15.153,
2,2,76,101,8.552,8.035,
2,2,76,101,6.67,7.145,
2,2,76,101,8.393,8.666,
2,2,76,101,7.668,8.703,
2,2,76,101,9.411,9.816,
2,2,76,101,8.926,8.428,
2,2,76,101,8.964,8.906,
2,2,76,101,8.288,8.317,
2,2,76,101,8.726,8.73,
2,2,76,101,8.409,8.219,
2,2,86,101,7.949,8.484,
2,2,86,101,6.877,7.227,
2,2,86,101,6.817,7.369,
2,2,86,101,8.018,9.084,
2,2,86,101,6.944,6.684,
2,2,86,101,7.835,8.123,
2,2,86,101,7.703,7.384,
2,2,86,101,7.116,7.228,
2,2,86,101,7.534,7.679,
2,2,86,101,8.146,8.079,
31,124,3,105,11.244,10.855,
31,124,3,105,10.116,11.541,
31,124,3,105,10.922,9.813,
31,124,3,105,11.23,10.413,
31,124,3,105,10.254,10.294,
31,124,3,105,10.962,11.253,
31,124,3,105,11.823,11.454,
31,124,3,105,10.934,10.021,
31,124,3,105,10.403,10.579,
31,124,76,105,7.809,6.897,
31,124,76,105,6.55,5.95,
31,124,76,105,,6.138,
31,124,76,105,6.771,7.035,
31,124,76,105,7.101,7.58,
31,124,76,105,6.703,6.636,
31,124,76,105,7.044,6.817,
31,124,76,105,7.089,6.727,
31,124,76,105,6.927,6.407,
31,124,86,105,7.391,7.887,
31,124,86,105,6.491,6.974,
31,124,86,105,6.368,7.446,
31,124,86,105,6.596,6.439,
31,124,86,105,8.754,8.172,
31,124,86,105,7.417,7.311,
31,124,86,105,8.355,7.576,
31,124,86,105,7.028,7.668,
11,104,3,109,23.962,23.117,
11,104,3,109,24.274,23.65,
11,104,3,109,26.648,26.927,
11,104,3,109,23.15,22.705,
11,104,3,109,25.188,24.517,
11,104,3,109,25.386,24.558,
11,104,3,109,25.279,25.099,
11,104,3,109,24.7,23.49,
11,104,3,109,22.743,22.232,
11,104,3,109,25.897,23.311,
11,104,76,109,16.554,14.961,
11,104,76,109,17.734,17.35,
11,104,76,109,14.623,15.353,
11,104,76,109,18.115,17.853,
11,104,76,109,17.091,17.313,
11,104,76,109,13.343,13.188,
11,104,76,109,15.034,14.797,
11,104,76,109,19.233,18.69,
11,104,76,109,17.861,17.361,
11,104,76,109,16.54,16.367,
11,104,86,109,15.385,17.079,
11,104,86,109,17.036,17.593,
11,104,86,109,17.161,16.511,
11,104,86,109,17.328,16.69,
11,104,86,109,15.506,15.03,
11,104,86,109,15.381,14.674,
11,104,86,109,17.069,16.646,
11,104,86,109,16.861,17.011,
11,104,86,109,15.048,14.287,
11,104,86,109,17.031,16.671,
1,1,3,129,20.93,21.501,20.709
1,1,3,129,19.873,20.678,20.304
1,1,3,129,19.811,20.003,19.694
1,1,3,129,20.614,,21.912
1,1,3,129,20.721,21.152,20.936
1,1,3,129,19.13,19.159,19.432
1,1,3,129,19.859,18.772,19.987
1,1,3,129,20.889,20.627,
1,1,3,129,,22.062,22.116
1,1,3,129,19.668,20.103,20.675
1,1,76,129,14.569,14.283,15.419
1,1,76,129,14.905,14.926,14.891
1,1,76,129,15.61,15.554,15.687
1,1,76,129,14.212,13.984,14.455
1,1,76,129,14.506,15.155,14.074
1,1,76,129,11.96,,12.745
1,1,76,129,15.187,15.05,15.402
1,1,76,129,15.174,,15.854
1,1,76,129,13.121,13.766,14.429
1,1,76,129,12.299,12.676,12.61
1,1,86,129,12.743,13,13.448
1,1,86,129,,14.247,14.232
1,1,86,129,12.907,13.45,13.36
1,1,86,129,13.505,13.501,13.278
1,1,86,129,14.196,13.709,14.99
1,1,86,129,,14.818,14.62
1,1,86,129,13.652,13.825,14.033
1,1,86,129,12.979,12.36,13.582
1,1,3,136,13.311,12.932,13.299
1,1,3,136,12.748,13.296,13.356
1,1,3,136,17.461,16.984,17.909
1,1,3,136,14.57,14.324,15.537
1,1,3,136,13.878,13.237,13.826
1,1,3,136,13.829,13.784,14.37
1,1,3,136,14.767,15.216,15.672
1,1,3,136,13.598,,13.452
1,1,3,136,17.85,17.224,17.506
1,1,3,136,15.991,15.994,16.198
1,1,76,136,8.313,8.09,8.539
1,1,76,136,11.268,11.401,11.472
1,1,76,136,,9.734,9.676
1,1,76,136,7.918,8.524,8.278
1,1,76,136,5.725,6.906,7.458
1,1,76,136,,11.203,11.123
1,1,76,136,9.36,9.791,9.736
1,1,76,136,11.182,10.888,11.056
1,1,76,136,9.841,9.691,8.952
1,1,76,136,8.462,9.082,8.888
1,1,86,136,8.3,8.49,8.617
1,1,86,136,7.848,7.629,8.035
1,1,86,136,8.672,9.013,9.622
1,1,86,136,,8.305,8.734
1,1,86,136,,7.873,7.871
1,1,86,136,9.45,9.742,9.662
1,1,86,136,8.09,8.255,8.336
1,1,3,142,,18.988,19.143
1,1,3,142,18.762,19.195,20.531
1,1,3,142,18.933,19.515,19.55
1,1,3,142,17.602,18.046,18.531
1,1,3,142,,19.116,19.417
1,1,3,142,17.245,17.623,17.826
1,1,3,142,17.996,17.58,17.501
1,1,3,142,19.63,20.979,20.41
1,1,76,142,10.969,11.274,11.756
1,1,76,142,10.771,10.777,
1,1,76,142,11.216,10.609,10.46
1,1,76,142,11.679,12.377,12.262
1,1,76,142,11.765,10.601,12.27
1,1,76,142,12.084,11.455,11.485
1,1,76,142,10.856,11.381,11.339
1,1,76,142,10.469,11.687,12.347
1,1,76,142,12.697,13.551,13.15
1,1,76,142,13.087,12.278,11.842
1,1,86,142,9.265,9.451,10.085
1,1,86,142,11.106,10.9,11.829
1,1,86,142,9.235,9.947,10.406
1,1,86,142,11.875,12.135,12.419
1,1,86,142,9.546,10.1,10.708
1,1,86,142,10.91,10.587,10.582
1,1,86,142,12.51,12.487,12.655
1,1,86,142,10.339,10.004,10.655
1,1,86,142,11.564,10.865,11.212
1,1,86,142,9.44,9.683,9.819
17,110,3,149,11.429,11.814,
17,110,3,149,14.559,15.068,
17,110,3,149,15.762,15.761,
17,110,3,149,14.366,14.491,
17,110,3,149,15.642,14.774,
17,110,3,149,10.616,11.702,
17,110,3,149,16.246,15.809,
17,110,3,149,15.099,15.358,
17,110,3,149,15.058,14.982,
17,110,76,149,10.469,11.487,
17,110,76,149,10.7,10.816,
17,110,76,149,10.861,10.87,
17,110,76,149,10.692,10.977,
17,110,76,149,10.28,10.229,
17,110,76,149,10.941,11.616,
17,110,76,149,10.783,10.712,
17,110,76,149,11.377,11.229,
17,110,76,149,10.147,10.465,
17,110,76,149,11.906,11.33,
17,110,86,149,7.789,8.257,
17,110,86,149,8.901,8.641,
17,110,86,149,8.4,9.23,
17,110,86,149,8.133,7.947,
17,110,86,149,8.92,8.995,
17,110,86,149,8.951,9.066,
17,110,86,149,7.872,8.526,
17,110,86,149,8.074,7.56,
17,110,86,149,7.914,8.837,
17,110,86,149,7.313,7.218,
15,108,3,153,9.738,9.487,
15,108,3,153,10.12,10.571,
15,108,3,153,10.949,10.143,
15,108,3,153,10.693,10.932,
15,108,3,153,10.975,11.402,
15,108,3,153,11.303,10.91,
15,108,3,153,9.408,8.85,
15,108,3,153,9.921,9.454,
15,108,3,153,10.391,10.507,
15,108,3,153,9.849,,
15,108,76,153,7.362,6.842,
15,108,76,153,6.855,5.949,
15,108,76,153,7.481,8.066,
15,108,76,153,,5.926,
15,108,76,153,6.534,7.366,
15,108,76,153,6.821,6.569,
15,108,76,153,5.948,6.031,
15,108,76,153,6.894,8.17,
15,108,76,153,7.58,7.496,
15,108,76,153,5.853,6.158,
15,108,86,153,6.53,5.699,
15,108,86,153,,5.653,
15,108,86,153,5.49,5.75,
15,108,86,153,5.803,5.531,
15,108,86,153,6.637,6.519,
15,108,86,153,6.554,6.54,
15,108,86,153,6.337,6.048,
15,108,86,153,7.261,6.907,
15,108,86,153,6.54,5.909,
15,108,86,153,6.332,6.735,
17,110,3,181,12.091,12.451,
17,110,3,181,11.188,11.986,
17,110,3,181,9.416,9.249,
17,110,3,181,11.274,10.814,
17,110,3,181,10.203,10.61,
17,110,3,181,10.834,11.105,
17,110,3,181,10.244,11.267,
17,110,3,181,10.326,10.541,
17,110,3,181,12.339,12.362,
17,110,3,181,10.968,10.597,
17,110,76,181,9.696,10.582,
17,110,76,181,9.121,9.881,
17,110,76,181,8.42,8.298,
17,110,76,181,9.077,9.1,
17,110,76,181,8.472,9.314,
17,110,76,181,8.415,9.114,
17,110,76,181,8.049,7.885,
17,110,76,181,8.926,9.131,
17,110,76,181,8.16,8.549,
17,110,76,181,9.428,8.95,
17,110,86,181,7.25,7.97,
17,110,86,181,7.314,7.796,
17,110,86,181,7.347,7.513,
17,110,86,181,7.752,7.803,
17,110,86,181,7.1,7.25,
17,110,86,181,7.737,7.835,
17,110,86,181,7.937,8.609,
17,110,86,181,7.239,6.873,
17,110,86,181,6.419,6.313,
17,110,86,181,7.655,7.472,
17,110,3,189,,13.913,
17,110,3,189,16.734,,
